method,training_period,holding_period,code,eligible,posterior_mean_sharpe,observations,posterior_standard_error,rank,group,selected
rolling_thompson_sampling,2022-07-01/2022-12-31,2023-01-01/2023-06-30,159796.SZ,True,0.6868850190466718,10.0,0.16383645186097562,1,a_share,True
rolling_thompson_sampling,2022-07-01/2022-12-31,2023-01-01/2023-06-30,159865.SZ,True,0.6436312148706941,12.0,0.14956153404310937,2,a_share,True
rolling_thompson_sampling,2022-07-01/2022-12-31,2023-01-01/2023-06-30,512200.SH,True,0.6172700075182976,14.0,0.13846707436992736,3,a_share,True
rolling_thompson_sampling,2022-07-01/2022-12-31,2023-01-01/2023-06-30,159901.SZ,True,0.6052882994256287,18.0,0.1221164811845045,4,a_share,False
rolling_thompson_sampling,2022-07-01/2022-12-31,2023-01-01/2023-06-30,159985.SZ,True,0.6039017792622219,77.0,0.05904255889466819,5,commodity,True
rolling_thompson_sampling,2022-07-01/2022-12-31,2023-01-01/2023-06-30,510210.SH,True,0.5987358748242361,6.0,0.21151194985309063,6,a_share,False
rolling_thompson_sampling,2022-07-01/2022-12-31,2023-01-01/2023-06-30,516150.SH,True,0.5987000187071408,12.0,0.14956153404310937,7,a_share,False
rolling_thompson_sampling,2022-07-01/2022-12-31,2023-01-01/2023-06-30,515220.SH,True,0.5760009731015588,11.0,0.15621192760417668,8,a_share,False
rolling_thompson_sampling,2022-07-01/2022-12-31,2023-01-01/2023-06-30,164824.SZ,True,0.5721035287804518,67.0,0.0632955434030362,9,global,True
rolling_thompson_sampling,2022-07-01/2022-12-31,2023-01-01/2023-06-30,588000.SH,True,0.5712050501090417,11.0,0.15621192760417668,10,a_share,False
rolling_thompson_sampling,2022-07-01/2022-12-31,2023-01-01/2023-06-30,513100.SH,True,0.5527487014407355,60.0,0.06688595138790829,11,global,True
rolling_thompson_sampling,2022-07-01/2022-12-31,2023-01-01/2023-06-30,562500.SH,True,0.5517864141239213,12.0,0.14956153404310937,12,a_share,False
rolling_thompson_sampling,2022-07-01/2022-12-31,2023-01-01/2023-06-30,159967.SZ,True,0.5500542484630601,9.0,0.17269878388040513,13,a_share,False
rolling_thompson_sampling,2022-07-01/2022-12-31,2023-01-01/2023-06-30,513180.SH,True,0.5183516030124118,49.0,0.07401376452017362,14,hong_kong,True
rolling_thompson_sampling,2022-07-01/2022-12-31,2023-01-01/2023-06-30,510050.SH,True,0.5144694275420588,12.0,0.14956153404310937,15,a_share,False
rolling_thompson_sampling,2022-07-01/2022-12-31,2023-01-01/2023-06-30,510300.SH,True,0.503651074858448,6.0,0.21151194985309063,16,a_share,False
rolling_thompson_sampling,2022-07-01/2022-12-31,2023-01-01/2023-06-30,159851.SZ,True,0.4945302392717269,10.0,0.16383645186097562,17,a_share,False
rolling_thompson_sampling,2022-07-01/2022-12-31,2023-01-01/2023-06-30,159928.SZ,True,0.4912466026086953,8.0,0.18317472177675673,18,a_share,False
rolling_thompson_sampling,2022-07-01/2022-12-31,2023-01-01/2023-06-30,515880.SH,True,0.4670738318439256,8.0,0.18317472177675673,19,a_share,False
rolling_thompson_sampling,2022-07-01/2022-12-31,2023-01-01/2023-06-30,513080.SH,True,0.46450628251233733,50.0,0.07326988871070268,20,global,True
rolling_thompson_sampling,2022-07-01/2022-12-31,2023-01-01/2023-06-30,159852.SZ,True,0.46130351103090017,4.0,0.2590481758206077,21,a_share,False
rolling_thompson_sampling,2022-07-01/2022-12-31,2023-01-01/2023-06-30,159870.SZ,True,0.45692000125681587,15.0,0.13377190277581658,22,a_share,False
rolling_thompson_sampling,2022-07-01/2022-12-31,2023-01-01/2023-06-30,512100.SH,True,0.4485863149603663,14.0,0.13846707436992736,23,a_share,False
rolling_thompson_sampling,2022-07-01/2022-12-31,2023-01-01/2023-06-30,159981.SZ,True,0.44808750063484126,71.0,0.06148672473049473,24,commodity,True
rolling_thompson_sampling,2022-07-01/2022-12-31,2023-01-01/2023-06-30,512170.SH,True,0.44235837973062103,6.0,0.21151194985309063,25,a_share,False
rolling_thompson_sampling,2022-07-01/2022-12-31,2023-01-01/2023-06-30,161226.SZ,True,0.4321326009197686,73.0,0.060638591354217716,26,commodity,True
rolling_thompson_sampling,2022-07-01/2022-12-31,2023-01-01/2023-06-30,513120.SH,True,0.4302467924886589,100.0,0.051809635164121536,27,hong_kong,True
rolling_thompson_sampling,2022-07-01/2022-12-31,2023-01-01/2023-06-30,513290.SH,True,0.42750108952045507,57.0,0.06862353818261388,28,global,True
rolling_thompson_sampling,2022-07-01/2022-12-31,2023-01-01/2023-06-30,160644.SZ,True,0.4038431094166911,64.0,0.06476204395515192,29,global,False
rolling_thompson_sampling,2022-07-01/2022-12-31,2023-01-01/2023-06-30,510500.SH,True,0.3857818348996521,5.0,0.23169973223287846,30,a_share,False
rolling_thompson_sampling,2022-07-01/2022-12-31,2023-01-01/2023-06-30,518880.SH,True,0.38297688240418415,61.0,0.06633544036875774,31,commodity,True
rolling_thompson_sampling,2022-07-01/2022-12-31,2023-01-01/2023-06-30,513070.SH,True,0.3646236678523846,20.0,0.11584986611643923,32,hong_kong,False
rolling_thompson_sampling,2022-07-01/2022-12-31,2023-01-01/2023-06-30,512880.SH,True,0.34872501876509,13.0,0.14369407395947875,33,a_share,False
rolling_thompson_sampling,2022-07-01/2022-12-31,2023-01-01/2023-06-30,159980.SZ,True,0.3465727616061068,62.0,0.06579830245676971,34,commodity,False
rolling_thompson_sampling,2022-07-01/2022-12-31,2023-01-01/2023-06-30,159920.SZ,True,0.3333218498132266,31.0,0.09305285171549067,35,hong_kong,False
rolling_thompson_sampling,2022-07-01/2022-12-31,2023-01-01/2023-06-30,513880.SH,True,0.3311905932036029,55.0,0.06986009780384299,36,global,False
rolling_thompson_sampling,2022-07-01/2022-12-31,2023-01-01/2023-06-30,513030.SH,True,0.32793858682618093,29.0,0.09620807722631228,37,global,False
