method,training_year,holding_year,code,eligible,estimated_contribution,locked,lock_order,rank,group,selected
rolling_sequential_forward,2022,2023,513730.SH,False,,False,,,global,False
rolling_sequential_forward,2022,2023,513750.SH,False,,False,,,hong_kong,False
rolling_sequential_forward,2022,2023,520870.SH,False,,False,,,global,False
rolling_sequential_forward,2022,2023,563300.SH,False,,False,,,a_share,False
rolling_sequential_forward,2022,2023,588200.SH,False,,False,,,a_share,False
rolling_sequential_forward,2022,2023,588220.SH,False,,False,,,a_share,False
rolling_sequential_forward,2023,2024,159869.SZ,True,0.704213808909564,True,2.0,1,a_share,True
rolling_sequential_forward,2023,2024,159985.SZ,True,0.6543861398987673,True,4.0,2,commodity,True
rolling_sequential_forward,2023,2024,512200.SH,True,0.6102211403319424,True,1.0,3,a_share,True
rolling_sequential_forward,2023,2024,513120.SH,True,0.5947312404426831,True,5.0,4,hong_kong,True
rolling_sequential_forward,2023,2024,510300.SH,True,0.5709838270102803,True,3.0,5,a_share,True
rolling_sequential_forward,2023,2024,513880.SH,True,0.44700209295890053,True,6.0,6,global,True
rolling_sequential_forward,2023,2024,513100.SH,True,0.3661040070733035,True,7.0,7,global,True
rolling_sequential_forward,2023,2024,513070.SH,True,0.3078039718404957,True,8.0,8,hong_kong,True
rolling_sequential_forward,2023,2024,501018.SH,True,0.28783629299043645,True,9.0,9,commodity,True
rolling_sequential_forward,2023,2024,513500.SH,True,0.23196346055849126,True,10.0,10,global,True
rolling_sequential_forward,2023,2024,159980.SZ,True,0.10709520681802542,False,,11,commodity,True
rolling_sequential_forward,2023,2024,512890.SH,True,0.03809157163909682,False,,12,a_share,False
rolling_sequential_forward,2023,2024,513080.SH,True,0.006811326534795881,False,,13,global,True
rolling_sequential_forward,2023,2024,159851.SZ,True,-0.03269990774776921,False,,14,a_share,False
rolling_sequential_forward,2023,2024,159981.SZ,True,-0.03742762152851753,False,,15,commodity,True
rolling_sequential_forward,2023,2024,588000.SH,True,-0.05111883422679042,False,,16,a_share,False
rolling_sequential_forward,2023,2024,518880.SH,True,-0.05582877901768424,False,,17,commodity,False
rolling_sequential_forward,2023,2024,512100.SH,True,-0.06888501379526446,False,,18,a_share,False
rolling_sequential_forward,2023,2024,164824.SZ,True,-0.10173992991063419,False,,19,global,False
rolling_sequential_forward,2023,2024,513030.SH,True,-0.14171519904547258,False,,20,global,False
rolling_sequential_forward,2023,2024,159687.SZ,True,-0.16407494692963764,False,,21,global,False
rolling_sequential_forward,2023,2024,160644.SZ,True,-0.20489696738218,False,,22,global,False
rolling_sequential_forward,2023,2024,513290.SH,True,-0.21803403667185817,False,,23,global,False
rolling_sequential_forward,2023,2024,515210.SH,True,-0.23891370394598388,False,,24,a_share,False
rolling_sequential_forward,2023,2024,159901.SZ,True,-0.2422195090913717,False,,25,a_share,False
rolling_sequential_forward,2023,2024,510210.SH,True,-0.27832869580897346,False,,26,a_share,False
rolling_sequential_forward,2023,2024,513310.SH,True,-0.30330696965449966,False,,27,global,False
rolling_sequential_forward,2023,2024,159920.SZ,True,-0.32917909568206927,False,,28,hong_kong,False
rolling_sequential_forward,2023,2024,515790.SH,True,-0.3449310174595665,False,,29,a_share,False
rolling_sequential_forward,2023,2024,510180.SH,True,-0.3631367261376989,False,,30,a_share,False
rolling_sequential_forward,2023,2024,159967.SZ,True,-0.3705428516038295,False,,31,a_share,False
rolling_sequential_forward,2023,2024,510880.SH,True,-0.37528106621151225,False,,32,a_share,False
rolling_sequential_forward,2023,2024,512400.SH,True,-0.37528106621151225,False,,33,a_share,False
rolling_sequential_forward,2023,2024,159949.SZ,True,-0.39397466859351604,False,,34,a_share,False
rolling_sequential_forward,2023,2024,512880.SH,True,-0.4136719319146385,False,,35,a_share,False
rolling_sequential_forward,2023,2024,588200.SH,True,-0.4136719319146385,False,,36,a_share,False
rolling_sequential_forward,2023,2024,159870.SZ,True,-0.42410337262545594,False,,37,a_share,False
rolling_sequential_forward,2023,2024,512170.SH,True,-0.44789766661676045,False,,38,a_share,False
rolling_sequential_forward,2023,2024,513180.SH,True,-0.4848613939792175,False,,39,hong_kong,False
rolling_sequential_forward,2023,2024,512800.SH,True,-0.49235552772951874,False,,40,a_share,False
rolling_sequential_forward,2023,2024,161226.SZ,True,-0.5039612789350212,False,,41,commodity,False
rolling_sequential_forward,2023,2024,515880.SH,True,-0.5288899080019325,False,,42,a_share,False
rolling_sequential_forward,2023,2024,159796.SZ,True,-0.5597464758374195,False,,43,a_share,False
rolling_sequential_forward,2023,2024,159915.SZ,True,-0.5597464758374195,False,,44,a_share,False
rolling_sequential_forward,2023,2024,159611.SZ,True,-0.5804918326184803,False,,45,a_share,False
rolling_sequential_forward,2023,2024,159825.SZ,True,-0.6645662009293578,False,,46,a_share,False
rolling_sequential_forward,2023,2024,510500.SH,True,-0.6775303245033043,False,,47,a_share,False
rolling_sequential_forward,2023,2024,159865.SZ,True,-0.6777530530154835,False,,48,a_share,False
rolling_sequential_forward,2023,2024,515220.SH,True,-0.7461521669833948,False,,49,a_share,False
rolling_sequential_forward,2023,2024,562500.SH,True,-0.8000586130155583,False,,50,a_share,False
rolling_sequential_forward,2023,2024,159928.SZ,True,-0.8636683208474039,False,,51,a_share,False
rolling_sequential_forward,2023,2024,512660.SH,True,-0.8735314420626845,False,,52,a_share,False
rolling_sequential_forward,2023,2024,516150.SH,True,-0.8939164585452067,False,,53,a_share,False
rolling_sequential_forward,2023,2024,159852.SZ,True,-1.0482074500423015,False,,54,a_share,False
rolling_sequential_forward,2023,2024,512040.SH,True,-1.0665622584270813,False,,55,a_share,False
rolling_sequential_forward,2023,2024,159766.SZ,True,-1.185549333973593,False,,56,a_share,False
rolling_sequential_forward,2023,2024,510050.SH,True,,False,,57,a_share,False
rolling_sequential_forward,2023,2024,512980.SH,True,,False,,58,a_share,False
rolling_sequential_forward,2023,2024,159201.SZ,False,,False,,,a_share,False
rolling_sequential_forward,2023,2024,159206.SZ,False,,False,,,a_share,False
rolling_sequential_forward,2023,2024,159209.SZ,False,,False,,,a_share,False
rolling_sequential_forward,2023,2024,159326.SZ,False,,False,,,a_share,False
rolling_sequential_forward,2023,2024,159329.SZ,False,,False,,,global,False
rolling_sequential_forward,2023,2024,159509.SZ,False,,False,,,global,False
rolling_sequential_forward,2023,2024,159518.SZ,False,,False,,,global,False
rolling_sequential_forward,2023,2024,159529.SZ,False,,False,,,global,False
rolling_sequential_forward,2023,2024,513400.SH,False,,False,,,global,False
rolling_sequential_forward,2023,2024,513730.SH,False,,False,,,global,False
rolling_sequential_forward,2023,2024,513750.SH,False,,False,,,hong_kong,False
rolling_sequential_forward,2023,2024,520870.SH,False,,False,,,global,False
rolling_sequential_forward,2023,2024,563300.SH,False,,False,,,a_share,False
rolling_sequential_forward,2023,2024,588220.SH,False,,False,,,a_share,False
rolling_sequential_forward,2024,2025,501018.SH,True,0.5655577063759378,True,4.0,1,commodity,True
rolling_sequential_forward,2024,2025,161226.SZ,True,0.5246553518464359,True,6.0,2,commodity,True
rolling_sequential_forward,2024,2025,513100.SH,True,0.48749107357429455,True,8.0,3,global,True
rolling_sequential_forward,2024,2025,513880.SH,True,0.4687046885490924,True,7.0,4,global,True
rolling_sequential_forward,2024,2025,159509.SZ,True,0.4596486777123724,True,5.0,5,global,True
rolling_sequential_forward,2024,2025,512800.SH,True,0.43241777608145315,False,,6,a_share,True
rolling_sequential_forward,2024,2025,513750.SH,True,0.3899729328215332,True,9.0,7,hong_kong,True
rolling_sequential_forward,2024,2025,513180.SH,True,0.3573864929196794,True,10.0,8,hong_kong,True
rolling_sequential_forward,2024,2025,510880.SH,True,0.34255192725154304,True,1.0,9,a_share,True
rolling_sequential_forward,2024,2025,512400.SH,True,0.33124279375078414,True,2.0,10,a_share,True
rolling_sequential_forward,2024,2025,159851.SZ,True,0.3264705601733512,False,,11,a_share,False
rolling_sequential_forward,2024,2025,159928.SZ,True,0.3247572531154147,True,3.0,12,a_share,False
rolling_sequential_forward,2024,2025,518880.SH,True,0.1962716890080527,True,11.0,13,commodity,True
rolling_sequential_forward,2024,2025,516150.SH,True,0.11076374779213394,False,,14,a_share,False
rolling_sequential_forward,2024,2025,159901.SZ,True,0.07975034406900083,False,,15,a_share,False
rolling_sequential_forward,2024,2025,159915.SZ,True,0.043449644006638755,False,,16,a_share,False
rolling_sequential_forward,2024,2025,159529.SZ,True,0.028721823132813018,False,,17,global,True
rolling_sequential_forward,2024,2025,159687.SZ,True,0.023037355036496177,False,,18,global,False
rolling_sequential_forward,2024,2025,510500.SH,True,0.00984360206574908,False,,19,a_share,False
rolling_sequential_forward,2024,2025,563300.SH,True,0.008190247387568794,False,,20,a_share,False
rolling_sequential_forward,2024,2025,513730.SH,True,-0.043561767560875264,False,,21,global,False
rolling_sequential_forward,2024,2025,164824.SZ,True,-0.09588195658658527,False,,22,global,False
rolling_sequential_forward,2024,2025,562500.SH,True,-0.11926716400587067,False,,23,a_share,False
rolling_sequential_forward,2024,2025,159869.SZ,True,-0.12188685674704758,False,,24,a_share,False
rolling_sequential_forward,2024,2025,515220.SH,True,-0.12188685674704758,False,,25,a_share,False
rolling_sequential_forward,2024,2025,513310.SH,True,-0.12552283758109928,False,,26,global,False
rolling_sequential_forward,2024,2025,159985.SZ,True,-0.128081293013646,False,,27,commodity,True
rolling_sequential_forward,2024,2025,159967.SZ,True,-0.1411995011400311,False,,28,a_share,False
rolling_sequential_forward,2024,2025,588200.SH,True,-0.14230127470190757,False,,29,a_share,False
rolling_sequential_forward,2024,2025,513500.SH,True,-0.1569641706351016,False,,30,global,False
rolling_sequential_forward,2024,2025,510180.SH,True,-0.19700263861466538,False,,31,a_share,False
rolling_sequential_forward,2024,2025,159949.SZ,True,-0.19852561176209982,False,,32,a_share,False
rolling_sequential_forward,2024,2025,159981.SZ,True,-0.2067494321514336,False,,33,commodity,False
rolling_sequential_forward,2024,2025,513070.SH,True,-0.20683842751053239,False,,34,hong_kong,False
rolling_sequential_forward,2024,2025,159825.SZ,True,-0.20690278871371226,False,,35,a_share,False
rolling_sequential_forward,2024,2025,513080.SH,True,-0.24850415150449512,False,,36,global,False
rolling_sequential_forward,2024,2025,510210.SH,True,-0.25142152247440164,False,,37,a_share,False
rolling_sequential_forward,2024,2025,513400.SH,True,-0.25350849181287416,False,,38,global,False
rolling_sequential_forward,2024,2025,159766.SZ,True,-0.25353782313203455,False,,39,a_share,False
rolling_sequential_forward,2024,2025,512200.SH,True,-0.2576827292678002,False,,40,a_share,False
rolling_sequential_forward,2024,2025,512890.SH,True,-0.27030421231586177,False,,41,a_share,False
rolling_sequential_forward,2024,2025,159796.SZ,True,-0.2927695038368173,False,,42,a_share,False
rolling_sequential_forward,2024,2025,513290.SH,True,-0.29734224719332814,False,,43,global,False
rolling_sequential_forward,2024,2025,513030.SH,True,-0.31810707128424776,False,,44,global,False
rolling_sequential_forward,2024,2025,513120.SH,True,-0.3234931659574982,False,,45,hong_kong,False
rolling_sequential_forward,2024,2025,160644.SZ,True,-0.34558244429493834,False,,46,global,False
rolling_sequential_forward,2024,2025,588220.SH,True,-0.3522433522181774,False,,47,a_share,False
rolling_sequential_forward,2024,2025,159980.SZ,True,-0.36059460071942406,False,,48,commodity,False
rolling_sequential_forward,2024,2025,159518.SZ,True,-0.36751014145864636,False,,49,global,False
rolling_sequential_forward,2024,2025,512170.SH,True,-0.4129911309696117,False,,50,a_share,False
rolling_sequential_forward,2024,2025,159920.SZ,True,-0.41650253500018,False,,51,hong_kong,False
rolling_sequential_forward,2024,2025,159611.SZ,True,-0.4644098494971512,False,,52,a_share,False
rolling_sequential_forward,2024,2025,159865.SZ,True,-0.5044124510178252,False,,53,a_share,False
rolling_sequential_forward,2024,2025,159870.SZ,True,-0.5518922497992623,False,,54,a_share,False
