method,training_year,holding_year,code,eligible,shapley_score,included_count,excluded_count,included_mean_sharpe,excluded_mean_sharpe,contribution,standard_error,rank,group,selected
rolling_shapley,2023,2024,159796.SZ,True,-0.5472329863387174,8,92,-0.14218107785897052,0.40505190847974687,-0.5472329863387174,0.14762619897063228,57,a_share,False
rolling_shapley,2023,2024,515220.SH,True,-0.7153582825493856,6,94,-0.31116351602377296,0.4041947665256126,-0.7153582825493856,0.13338465843997824,58,a_share,False
rolling_shapley,2023,2024,159201.SZ,False,,0,100,,0.36127326957264944,,,,a_share,False
rolling_shapley,2023,2024,159206.SZ,False,,0,100,,0.36127326957264944,,,,a_share,False
rolling_shapley,2023,2024,159209.SZ,False,,0,100,,0.36127326957264944,,,,a_share,False
rolling_shapley,2023,2024,159326.SZ,False,,0,100,,0.36127326957264944,,,,a_share,False
rolling_shapley,2023,2024,159329.SZ,False,,0,100,,0.36127326957264944,,,,global,False
rolling_shapley,2023,2024,159509.SZ,False,,0,100,,0.36127326957264944,,,,global,False
rolling_shapley,2023,2024,159518.SZ,False,,0,100,,0.36127326957264944,,,,global,False
rolling_shapley,2023,2024,159529.SZ,False,,0,100,,0.36127326957264944,,,,global,False
rolling_shapley,2023,2024,513400.SH,False,,0,100,,0.36127326957264944,,,,global,False
rolling_shapley,2023,2024,513730.SH,False,,0,100,,0.36127326957264944,,,,global,False
rolling_shapley,2023,2024,513750.SH,False,,0,100,,0.36127326957264944,,,,hong_kong,False
rolling_shapley,2023,2024,520870.SH,False,,0,100,,0.36127326957264944,,,,global,False
rolling_shapley,2023,2024,563300.SH,False,,0,100,,0.36127326957264944,,,,a_share,False
rolling_shapley,2023,2024,588220.SH,False,,0,100,,0.36127326957264944,,,,a_share,False
rolling_shapley,2024,2025,501018.SH,True,0.6117631438560797,67,33,0.8286962587494162,0.21693311489333658,0.6117631438560797,0.10507631166343427,1,commodity,True
rolling_shapley,2024,2025,512800.SH,True,0.5532042974821699,8,92,1.1357623749605064,0.5825580774783364,0.5532042974821699,0.13960626222547842,2,a_share,True
rolling_shapley,2024,2025,513100.SH,True,0.5292054285998,26,74,1.018426438440762,0.48922100984096195,0.5292054285998,0.09940616876982954,3,global,True
rolling_shapley,2024,2025,512400.SH,True,0.48347520437627767,7,93,1.0764463613468482,0.5929711569705706,0.48347520437627767,0.19532718468655438,4,a_share,True
rolling_shapley,2024,2025,513500.SH,True,0.3579720615642803,26,74,0.8917137468344773,0.533741685270197,0.3579720615642803,0.11784791989319908,5,global,True
rolling_shapley,2024,2025,563300.SH,True,0.3574985695563836,8,92,0.9557131052687828,0.5982145357123992,0.3574985695563836,0.18775630283893954,6,a_share,True
rolling_shapley,2024,2025,510880.SH,True,0.2841854314888379,9,91,0.8854231639317525,0.6012377324429146,0.2841854314888379,0.19988571358177448,7,a_share,False
rolling_shapley,2024,2025,510180.SH,True,0.24939882816629066,6,94,0.8612493197532233,0.6118504915869326,0.24939882816629066,0.2645829543163024,8,a_share,False
rolling_shapley,2024,2025,516150.SH,True,0.2306384354334039,11,89,0.8320826288126394,0.6014441933792355,0.2306384354334039,0.17385139378557016,9,a_share,False
rolling_shapley,2024,2025,513730.SH,True,0.23002343065492226,20,80,0.8108331658008477,0.5808097351459255,0.23002343065492226,0.14232556192264081,10,global,True
rolling_shapley,2024,2025,159949.SZ,True,0.2293846691461554,11,89,0.8309667768169882,0.6015821076708328,0.2293846691461554,0.21205145678336657,11,a_share,False
rolling_shapley,2024,2025,588200.SH,True,0.2247062115569205,2,98,0.847026508602692,0.6223202970457715,0.2247062115569205,0.09614910456868912,12,a_share,False
rolling_shapley,2024,2025,512890.SH,True,0.2118189112219323,8,92,0.8216878196010877,0.6098689083791554,0.2118189112219323,0.2529061027307092,13,a_share,False
rolling_shapley,2024,2025,512040.SH,True,0.21148945153572607,5,95,0.8277294002358497,0.6162399487001237,0.21148945153572607,0.3061199742201671,14,a_share,False
rolling_shapley,2024,2025,161226.SZ,True,0.19723059349612354,69,31,0.6879559052607084,0.49072531176458484,0.19723059349612354,0.11151184588550658,15,commodity,True
rolling_shapley,2024,2025,159901.SZ,True,0.1730761519566193,6,94,0.7895060041161321,0.6164298521595128,0.1730761519566193,0.2711062469188921,16,a_share,False
rolling_shapley,2024,2025,159509.SZ,True,0.16881925700054656,25,75,0.7534288640273199,0.5846096070267733,0.16881925700054656,0.1290610295710908,17,global,True
rolling_shapley,2024,2025,510300.SH,True,0.1682063204727755,5,95,0.7866104257260467,0.6184041052532712,0.1682063204727755,0.12562027542275336,18,a_share,False
rolling_shapley,2024,2025,515210.SH,True,0.16044043625922688,13,87,0.7663976008224374,0.6059571645632105,0.16044043625922688,0.1563002240985233,19,a_share,False
rolling_shapley,2024,2025,512880.SH,True,0.13548461098061781,12,88,0.7460408789398536,0.6105562679592358,0.13548461098061781,0.1630607497767447,20,a_share,False
rolling_shapley,2024,2025,513180.SH,True,0.13360108250976732,26,74,0.7256792223341377,0.5920781398243704,0.13360108250976732,0.12492842765530272,21,hong_kong,True
rolling_shapley,2024,2025,510050.SH,True,0.10049770478498621,9,91,0.7182673326312474,0.6177696278462612,0.10049770478498621,0.13861642834897275,22,a_share,False
rolling_shapley,2024,2025,513400.SH,True,0.08595165745649003,24,76,0.6921376809438424,0.6061860234873524,0.08595165745649003,0.14070324603189902,23,global,False
rolling_shapley,2024,2025,588220.SH,True,0.08334963845969745,6,94,0.7051630814290256,0.6218134429693282,0.08334963845969745,0.24072721729555482,24,a_share,False
rolling_shapley,2024,2025,513070.SH,True,0.07052685107193257,32,68,0.6747726800058242,0.6042458289338917,0.07052685107193257,0.12196347593432795,25,hong_kong,False
rolling_shapley,2024,2025,513880.SH,True,0.06787545863801936,29,71,0.6750059969099038,0.6071305382718845,0.06787545863801936,0.11200155692908086,26,global,False
rolling_shapley,2024,2025,512170.SH,True,0.06012672575377043,6,94,0.6833335434854542,0.6232068177316837,0.06012672575377043,0.231571019774095,27,a_share,False
rolling_shapley,2024,2025,513750.SH,True,0.055555483025192864,49,51,0.6551477176197583,0.5995922345945655,0.055555483025192864,0.11353924441454831,28,hong_kong,True
rolling_shapley,2024,2025,159529.SZ,True,0.05322566782871063,32,68,0.6630078754004332,0.6097822075717225,0.05322566782871063,0.11353315139540227,29,global,False
rolling_shapley,2024,2025,159928.SZ,True,0.051696031557300515,4,96,0.6764426115719184,0.6247465800146179,0.051696031557300515,0.28964543628612777,30,a_share,False
rolling_shapley,2024,2025,159852.SZ,True,0.04866093970364416,10,90,0.6706092670101896,0.6219483273065455,0.04866093970364416,0.16360628370109417,31,a_share,False
rolling_shapley,2024,2025,512100.SH,True,0.040369425175742824,8,92,0.6639542924385934,0.6235848672628506,0.040369425175742824,0.19829688889204294,32,a_share,False
rolling_shapley,2024,2025,518880.SH,True,0.008279465534061337,67,33,0.6295466449031503,0.6212671793690889,0.008279465534061337,0.13364673764257584,33,commodity,True
rolling_shapley,2024,2025,159687.SZ,True,0.0017383919419001748,25,75,0.6281182152333351,0.6263798232914349,0.0017383919419001748,0.127113095527272,34,global,False
rolling_shapley,2024,2025,159825.SZ,True,-0.013408940283152204,5,95,0.6140759280079154,0.6274848682910676,-0.013408940283152204,0.2117720205412747,35,a_share,False
rolling_shapley,2024,2025,159870.SZ,True,-0.015472475094352123,16,84,0.6138175421976542,0.6292900172920063,-0.015472475094352123,0.14801909027402113,36,a_share,False
rolling_shapley,2024,2025,515790.SH,True,-0.01560270041262124,5,95,0.6119918558849198,0.627594556297541,-0.01560270041262124,0.17037286641919938,37,a_share,False
rolling_shapley,2024,2025,513120.SH,True,-0.03485367689954055,62,38,0.6135700240550847,0.6484237009546252,-0.03485367689954055,0.11546479404597829,38,hong_kong,False
rolling_shapley,2024,2025,512660.SH,True,-0.05375698973932175,4,96,0.575207711127161,0.6289647008664827,-0.05375698973932175,0.1706870988964837,39,a_share,False
rolling_shapley,2024,2025,159851.SZ,True,-0.065259258473358,7,93,0.5661233108966871,0.6313825693700451,-0.065259258473358,0.25810302037471555,40,a_share,False
rolling_shapley,2024,2025,160644.SZ,True,-0.0699506619982867,30,70,0.5778489578781093,0.647799619876396,-0.0699506619982867,0.12053968866927402,41,global,False
rolling_shapley,2024,2025,164824.SZ,True,-0.07329325556842214,25,75,0.5718444796005934,0.6451377351690155,-0.07329325556842214,0.13521226878074363,42,global,False
rolling_shapley,2024,2025,510500.SH,True,-0.07400740490436641,5,95,0.5565073866177619,0.6305147915221283,-0.07400740490436641,0.22435671483948288,43,a_share,False
rolling_shapley,2024,2025,515880.SH,True,-0.08038382695535284,6,94,0.5512536239388783,0.6316374508942312,-0.08038382695535284,0.23350265560145628,44,a_share,False
rolling_shapley,2024,2025,159967.SZ,True,-0.1253437651363778,9,91,0.5127515950028062,0.638095360139184,-0.1253437651363778,0.207226217395669,45,a_share,False
rolling_shapley,2024,2025,159865.SZ,True,-0.1372552385041707,6,94,0.49779449708298956,0.6350497355871603,-0.1372552385041707,0.2151858330802186,46,a_share,False
rolling_shapley,2024,2025,159611.SZ,True,-0.14977073440748262,8,92,0.4890253456220259,0.6387960800295085,-0.14977073440748262,0.12688295161355312,47,a_share,False
rolling_shapley,2024,2025,513080.SH,True,-0.1685158902388541,18,82,0.48863139128104954,0.6571472815199036,-0.1685158902388541,0.14630951728533118,48,global,False
rolling_shapley,2024,2025,510210.SH,True,-0.17256423511164004,6,94,0.4646040402719684,0.6371682753836084,-0.17256423511164004,0.2574961323079786,49,a_share,False
