training_year,trial,codes,sharpe
2019,82,159920.SZ|159949.SZ|161226.SZ|501018.SH|510180.SH|510210.SH|510500.SH|512040.SH|512100.SH|512400.SH|512800.SH|512880.SH|513030.SH|513880.SH|518880.SH,1.594924876011329
2019,83,159901.SZ|160644.SZ|161226.SZ|501018.SH|510210.SH|510300.SH|510500.SH|510880.SH|512040.SH|512100.SH|512170.SH|512200.SH|512660.SH|512880.SH|518880.SH,1.5258542177775467
2019,84,159920.SZ|159949.SZ|164824.SZ|501018.SH|510050.SH|510210.SH|510880.SH|512040.SH|512400.SH|512660.SH|512880.SH|512980.SH|513030.SH|513100.SH|518880.SH,1.173663556188051
2019,85,159920.SZ|159928.SZ|160644.SZ|161226.SZ|510180.SH|510210.SH|512100.SH|512400.SH|512800.SH|512880.SH|512890.SH|513030.SH|513100.SH|513500.SH|513880.SH,1.3131214355380627
2019,86,159901.SZ|159915.SZ|159920.SZ|164824.SZ|501018.SH|510050.SH|510210.SH|510300.SH|510880.SH|512040.SH|512200.SH|512660.SH|512980.SH|513030.SH|513500.SH,0.9442590567548516
2019,87,159901.SZ|159949.SZ|160644.SZ|164824.SZ|501018.SH|510050.SH|510300.SH|510500.SH|510880.SH|512040.SH|512200.SH|512890.SH|512980.SH|513030.SH|513500.SH,0.9866669120804257
2019,88,161226.SZ|501018.SH|510050.SH|510180.SH|510300.SH|510500.SH|512100.SH|512200.SH|512400.SH|512800.SH|512880.SH|512890.SH|513500.SH|513880.SH|518880.SH,1.7234121850048503
2019,89,159915.SZ|159928.SZ|160644.SZ|161226.SZ|510180.SH|510300.SH|510880.SH|512040.SH|512170.SH|512660.SH|512800.SH|512980.SH|513030.SH|513500.SH|518880.SH,1.328802319258872
2019,90,159920.SZ|159928.SZ|160644.SZ|164824.SZ|510050.SH|510880.SH|512100.SH|512200.SH|512660.SH|512800.SH|512880.SH|512890.SH|512980.SH|513030.SH|513880.SH,1.0301180695665866
2019,91,159920.SZ|159928.SZ|159949.SZ|510180.SH|510300.SH|510880.SH|512040.SH|512100.SH|512170.SH|512400.SH|512660.SH|512880.SH|512980.SH|513500.SH|518880.SH,1.568465996799561
2019,92,159915.SZ|159928.SZ|164824.SZ|501018.SH|510050.SH|510180.SH|510300.SH|510500.SH|512040.SH|512100.SH|512170.SH|512200.SH|512660.SH|512800.SH|513030.SH,1.0232552381983275
2019,93,159915.SZ|159920.SZ|161226.SZ|164824.SZ|501018.SH|510050.SH|510180.SH|510500.SH|512040.SH|512170.SH|512660.SH|512880.SH|512890.SH|513100.SH|513880.SH,1.2115769258195903
2019,94,159901.SZ|159949.SZ|160644.SZ|161226.SZ|501018.SH|510050.SH|510210.SH|510880.SH|512100.SH|512170.SH|512200.SH|512800.SH|512880.SH|512980.SH|513100.SH,1.3027328230468542
2019,95,159915.SZ|159920.SZ|159928.SZ|159949.SZ|160644.SZ|510050.SH|510210.SH|510300.SH|510500.SH|512100.SH|512170.SH|512890.SH|513100.SH|513880.SH|518880.SH,1.8585580561842079
2019,96,159901.SZ|159949.SZ|164824.SZ|510050.SH|510180.SH|510300.SH|510880.SH|512040.SH|512100.SH|512400.SH|512800.SH|512890.SH|513030.SH|513100.SH|513500.SH,1.443802010588728
2019,97,159915.SZ|159920.SZ|160644.SZ|164824.SZ|501018.SH|510210.SH|510500.SH|510880.SH|512100.SH|512170.SH|512660.SH|512880.SH|513500.SH|513880.SH|518880.SH,1.2567342060397209
2019,98,159901.SZ|159915.SZ|159928.SZ|159949.SZ|161226.SZ|501018.SH|510050.SH|510210.SH|510880.SH|512100.SH|512170.SH|512660.SH|512890.SH|512980.SH|513500.SH,1.0713321395949404
2019,99,159901.SZ|159915.SZ|160644.SZ|161226.SZ|501018.SH|510050.SH|510210.SH|510300.SH|512040.SH|512100.SH|512400.SH|512660.SH|512800.SH|512890.SH|518880.SH,1.4052053857395908
