training_year,holding_year,code,eligible,shapley_score,standard_error,included_mean_sharpe,excluded_mean_sharpe,included_count,excluded_count,rank,selected
2021,2022,159915.SZ,True,0.09383479630397162,0.13630820183216505,0.3554406901947464,0.26160589389077477,24,76,17,False
2021,2022,512980.SH,True,0.07943827948234039,0.12718381785848196,0.3349667438724258,0.2555284643900854,36,64,18,False
2021,2022,159851.SZ,True,0.06995085225028286,0.12175380489519835,0.32959429896641185,0.259643446716129,35,65,19,False
2021,2022,159852.SZ,True,0.061517207778980676,0.14741889745478365,0.32903380668238386,0.2675165989034032,27,73,20,False
2021,2022,516150.SH,True,0.04504411815318876,0.12597064075289086,0.31565712771096005,0.2706130095577713,30,70,21,False
2021,2022,159949.SZ,True,0.04474826986200864,0.11800297774976713,0.3158975166057541,0.27114924674374546,29,71,22,False
2021,2022,512040.SH,True,0.022403234135724537,0.14947469648353415,0.30092867060552136,0.2785254364697968,25,75,23,False
2021,2022,515790.SH,True,0.021171477506674807,0.15079051308421043,0.29958142358360057,0.27840994607692576,27,73,24,False
2021,2022,510210.SH,True,-0.0017137972141226254,0.1343152251808973,0.28296086289812455,0.2846746601122472,32,68,25,False
2021,2022,588000.SH,True,-0.007276089426489496,0.12940695553123338,0.2796878304535694,0.28696391988005887,39,61,26,False
2021,2022,512100.SH,True,-0.0347927960547329,0.125966529546277,0.2622067834892462,0.2969995795439791,37,63,27,False
2021,2022,159870.SZ,True,-0.06419931840946602,0.11767860061931733,0.2385447289330071,0.3027440473424731,29,71,28,False
2021,2022,512660.SH,True,-0.06467741588961992,0.13362284636018368,0.23885205388099404,0.30352946977061396,30,70,29,False
2021,2022,510500.SH,True,-0.07206014795115884,0.11424567186986148,0.23584594587645158,0.3079060938276104,33,67,30,False
2021,2022,512880.SH,True,-0.07645328205886426,0.12421179289318834,0.23519614448605486,0.3116494265449191,36,64,31,False
2021,2022,159869.SZ,True,-0.08563191898390643,0.1333231174785014,0.22418390171499342,0.30981582069889985,30,70,32,False
2021,2022,159967.SZ,True,-0.09116341633370376,0.16004890044875034,0.21575368275345017,0.3069170990871539,25,75,33,False
