method,training_period,holding_period,code,eligible,mean_included_sharpe,included_count,excluded_count,excluded_mean_sharpe,rank,group,selected
rolling_mean_inclusion,2022-01-01/2022-06-30,2022-07-01/2022-12-31,159509.SZ,False,,0,100,0.06542102185259945,,global,False
rolling_mean_inclusion,2022-01-01/2022-06-30,2022-07-01/2022-12-31,159518.SZ,False,,0,100,0.06542102185259945,,global,False
rolling_mean_inclusion,2022-01-01/2022-06-30,2022-07-01/2022-12-31,159529.SZ,False,,0,100,0.06542102185259945,,global,False
rolling_mean_inclusion,2022-01-01/2022-06-30,2022-07-01/2022-12-31,159687.SZ,False,,0,100,0.06542102185259945,,global,False
rolling_mean_inclusion,2022-01-01/2022-06-30,2022-07-01/2022-12-31,513120.SH,False,,0,100,0.06542102185259945,,hong_kong,False
rolling_mean_inclusion,2022-01-01/2022-06-30,2022-07-01/2022-12-31,513290.SH,False,,0,100,0.06542102185259945,,global,False
rolling_mean_inclusion,2022-01-01/2022-06-30,2022-07-01/2022-12-31,513310.SH,False,,0,100,0.06542102185259945,,global,False
rolling_mean_inclusion,2022-01-01/2022-06-30,2022-07-01/2022-12-31,513400.SH,False,,0,100,0.06542102185259945,,global,False
rolling_mean_inclusion,2022-01-01/2022-06-30,2022-07-01/2022-12-31,513730.SH,False,,0,100,0.06542102185259945,,global,False
rolling_mean_inclusion,2022-01-01/2022-06-30,2022-07-01/2022-12-31,513750.SH,False,,0,100,0.06542102185259945,,hong_kong,False
rolling_mean_inclusion,2022-01-01/2022-06-30,2022-07-01/2022-12-31,520870.SH,False,,0,100,0.06542102185259945,,global,False
rolling_mean_inclusion,2022-01-01/2022-06-30,2022-07-01/2022-12-31,563300.SH,False,,0,100,0.06542102185259945,,a_share,False
rolling_mean_inclusion,2022-01-01/2022-06-30,2022-07-01/2022-12-31,588200.SH,False,,0,100,0.06542102185259945,,a_share,False
rolling_mean_inclusion,2022-01-01/2022-06-30,2022-07-01/2022-12-31,588220.SH,False,,0,100,0.06542102185259945,,a_share,False
rolling_mean_inclusion,2022-07-01/2022-12-31,2023-01-01/2023-06-30,159852.SZ,True,0.6836574370097701,5,95,0.23869517801393036,1,a_share,True
rolling_mean_inclusion,2022-07-01/2022-12-31,2023-01-01/2023-06-30,515790.SH,True,0.6687976335801206,7,93,0.23024457700334824,2,a_share,True
rolling_mean_inclusion,2022-07-01/2022-12-31,2023-01-01/2023-06-30,159967.SZ,True,0.6548755359247429,6,94,0.23579867958323164,3,a_share,True
rolling_mean_inclusion,2022-07-01/2022-12-31,2023-01-01/2023-06-30,159766.SZ,True,0.5801401304150063,7,93,0.23691772240287293,4,a_share,False
rolling_mean_inclusion,2022-07-01/2022-12-31,2023-01-01/2023-06-30,515220.SH,True,0.5249655625902924,8,92,0.23798483256141187,5,a_share,False
rolling_mean_inclusion,2022-07-01/2022-12-31,2023-01-01/2023-06-30,159928.SZ,True,0.5222017574885421,12,88,0.2253171364376105,6,a_share,False
rolling_mean_inclusion,2022-07-01/2022-12-31,2023-01-01/2023-06-30,516150.SH,True,0.49699232212929134,10,90,0.23471562083421466,7,a_share,False
rolling_mean_inclusion,2022-07-01/2022-12-31,2023-01-01/2023-06-30,159985.SZ,True,0.4957589998863584,64,36,-0.15650685823207508,8,commodity,True
rolling_mean_inclusion,2022-07-01/2022-12-31,2023-01-01/2023-06-30,510180.SH,True,0.49215987158448965,6,94,0.24618478581771588,9,a_share,False
rolling_mean_inclusion,2022-07-01/2022-12-31,2023-01-01/2023-06-30,512890.SH,True,0.460870230628609,7,93,0.24589502668787058,10,a_share,False
rolling_mean_inclusion,2022-07-01/2022-12-31,2023-01-01/2023-06-30,164824.SZ,True,0.4410802662080461,71,29,-0.1800817173930703,11,global,True
rolling_mean_inclusion,2022-07-01/2022-12-31,2023-01-01/2023-06-30,510050.SH,True,0.398745062108573,5,95,0.25369056616662494,12,a_share,False
rolling_mean_inclusion,2022-07-01/2022-12-31,2023-01-01/2023-06-30,159611.SZ,True,0.3839050717731225,10,90,0.24728087087378894,13,a_share,False
rolling_mean_inclusion,2022-07-01/2022-12-31,2023-01-01/2023-06-30,510500.SH,True,0.36575790846019496,7,93,0.25305401867904154,14,a_share,False
rolling_mean_inclusion,2022-07-01/2022-12-31,2023-01-01/2023-06-30,159870.SZ,True,0.35138075859203344,12,88,0.24861090901440716,15,a_share,False
rolling_mean_inclusion,2022-07-01/2022-12-31,2023-01-01/2023-06-30,513180.SH,True,0.3509179314602545,26,74,0.22933057943791363,16,hong_kong,True
rolling_mean_inclusion,2022-07-01/2022-12-31,2023-01-01/2023-06-30,512200.SH,True,0.349960987903145,8,92,0.253202621664642,17,a_share,False
rolling_mean_inclusion,2022-07-01/2022-12-31,2023-01-01/2023-06-30,160644.SZ,True,0.3042590027307917,64,36,0.18393758115559894,18,global,True
rolling_mean_inclusion,2022-07-01/2022-12-31,2023-01-01/2023-06-30,510300.SH,True,0.3003867349369737,8,92,0.2575134262703961,19,a_share,False
rolling_mean_inclusion,2022-07-01/2022-12-31,2023-01-01/2023-06-30,159949.SZ,True,0.2928591004540517,4,96,0.25961346556829196,20,a_share,False
rolling_mean_inclusion,2022-07-01/2022-12-31,2023-01-01/2023-06-30,159865.SZ,True,0.2831748175663431,8,92,0.2590101147374074,21,a_share,False
rolling_mean_inclusion,2022-07-01/2022-12-31,2023-01-01/2023-06-30,159980.SZ,True,0.2812504894097053,66,34,0.22152343515681408,22,commodity,True
rolling_mean_inclusion,2022-07-01/2022-12-31,2023-01-01/2023-06-30,159915.SZ,True,0.27978968904286095,10,90,0.2588492467327069,23,a_share,False
rolling_mean_inclusion,2022-07-01/2022-12-31,2023-01-01/2023-06-30,513030.SH,True,0.27755676810478813,44,56,0.24788984463859914,24,global,True
rolling_mean_inclusion,2022-07-01/2022-12-31,2023-01-01/2023-06-30,512170.SH,True,0.275075506988038,8,92,0.25971440261378187,25,a_share,False
rolling_mean_inclusion,2022-07-01/2022-12-31,2023-01-01/2023-06-30,513100.SH,True,0.2633997996385521,50,50,0.25848678228889255,26,global,True
rolling_mean_inclusion,2022-07-01/2022-12-31,2023-01-01/2023-06-30,513120.SH,True,0.26094329096372226,100,0,,27,hong_kong,True
rolling_mean_inclusion,2022-07-01/2022-12-31,2023-01-01/2023-06-30,159851.SZ,True,0.2596856672414121,9,91,0.26106767133186287,28,a_share,False
rolling_mean_inclusion,2022-07-01/2022-12-31,2023-01-01/2023-06-30,159981.SZ,True,0.2485100534586104,59,41,0.27883502298327356,29,commodity,True
rolling_mean_inclusion,2022-07-01/2022-12-31,2023-01-01/2023-06-30,518880.SH,True,0.24365293605891866,79,21,0.32598795941512654,30,commodity,True
rolling_mean_inclusion,2022-07-01/2022-12-31,2023-01-01/2023-06-30,513070.SH,True,0.2396750785746941,40,60,0.27512209922307446,31,hong_kong,False
rolling_mean_inclusion,2022-07-01/2022-12-31,2023-01-01/2023-06-30,510210.SH,True,0.23577443024350161,6,94,0.2625498139884172,32,a_share,False
rolling_mean_inclusion,2022-07-01/2022-12-31,2023-01-01/2023-06-30,159920.SZ,True,0.21716058045346617,34,66,0.283498020620521,33,hong_kong,False
rolling_mean_inclusion,2022-07-01/2022-12-31,2023-01-01/2023-06-30,512800.SH,True,0.20566017974803133,16,84,0.27147340738575865,34,a_share,False
rolling_mean_inclusion,2022-07-01/2022-12-31,2023-01-01/2023-06-30,513290.SH,True,0.2033380673843852,56,44,0.3342590300646968,35,global,False
