method,training_period,holding_period,code,eligible,shapley_score,included_count,excluded_count,included_mean_sharpe,excluded_mean_sharpe,contribution,standard_error,rank,group,selected
rolling_shapley,2024-01-01/2024-06-30,2024-07-01/2024-12-31,513030.SH,True,-0.3201810545466943,30,70,0.6156435109241083,0.9358245654708026,-0.3201810545466943,0.2174358695158357,57,global,False
rolling_shapley,2024-01-01/2024-06-30,2024-07-01/2024-12-31,159928.SZ,True,-0.3268729214386642,12,88,0.5521220782407699,0.8789949996794341,-0.3268729214386642,0.31013847355585245,58,a_share,False
rolling_shapley,2024-01-01/2024-06-30,2024-07-01/2024-12-31,159865.SZ,True,-0.37351053453731214,4,96,0.4812001359509748,0.854710670488287,-0.37351053453731214,0.3659793539136786,59,a_share,False
rolling_shapley,2024-01-01/2024-06-30,2024-07-01/2024-12-31,159980.SZ,True,-0.3875892786938433,74,26,0.7389970366463952,1.1265863153402385,-0.3875892786938433,0.19319168801141623,60,commodity,False
rolling_shapley,2024-01-01/2024-06-30,2024-07-01/2024-12-31,562500.SH,True,-0.4485658478566017,4,96,0.4091470351644567,0.8577128830210584,-0.4485658478566017,0.4425029869830522,61,a_share,False
rolling_shapley,2024-01-01/2024-06-30,2024-07-01/2024-12-31,515220.SH,True,-0.5373456077452872,10,90,0.35615920213603586,0.8935048098813231,-0.5373456077452872,0.246642408877751,62,a_share,False
rolling_shapley,2024-01-01/2024-06-30,2024-07-01/2024-12-31,515790.SH,True,-0.5497686748919927,5,95,0.3174900079594014,0.8672586828513941,-0.5497686748919927,0.4611590705221274,63,a_share,False
rolling_shapley,2024-01-01/2024-06-30,2024-07-01/2024-12-31,510210.SH,True,-0.5598175393561138,9,91,0.3303362882927308,0.8901538276488445,-0.5598175393561138,0.2169438410456158,64,a_share,False
rolling_shapley,2024-01-01/2024-06-30,2024-07-01/2024-12-31,510180.SH,True,-0.5758538886357297,5,95,0.29270905490285104,0.8685629435385808,-0.5758538886357297,0.4258763170070946,65,a_share,False
rolling_shapley,2024-01-01/2024-06-30,2024-07-01/2024-12-31,159981.SZ,True,-0.8762618839228091,71,29,0.5856543027691798,1.461916186691989,-0.8762618839228091,0.17843502774037787,66,commodity,False
rolling_shapley,2024-01-01/2024-06-30,2024-07-01/2024-12-31,159201.SZ,False,,0,100,,0.8397702491067943,,,,a_share,False
rolling_shapley,2024-01-01/2024-06-30,2024-07-01/2024-12-31,159206.SZ,False,,0,100,,0.8397702491067943,,,,a_share,False
rolling_shapley,2024-01-01/2024-06-30,2024-07-01/2024-12-31,159209.SZ,False,,0,100,,0.8397702491067943,,,,a_share,False
rolling_shapley,2024-01-01/2024-06-30,2024-07-01/2024-12-31,159326.SZ,False,,0,100,,0.8397702491067943,,,,a_share,False
rolling_shapley,2024-01-01/2024-06-30,2024-07-01/2024-12-31,159329.SZ,False,,0,100,,0.8397702491067943,,,,global,False
rolling_shapley,2024-01-01/2024-06-30,2024-07-01/2024-12-31,520870.SH,False,,0,100,,0.8397702491067943,,,,global,False
rolling_shapley,2024-07-01/2024-12-31,2025-01-01/2025-06-30,512880.SH,True,0.8791533504628177,7,93,0.8821602940421139,0.0030069435792962505,0.8791533504628177,0.2127766972617834,1,a_share,True
rolling_shapley,2024-07-01/2024-12-31,2025-01-01/2025-06-30,159529.SZ,True,0.5407730217959793,23,77,0.48094290489459757,-0.05983011690138175,0.5407730217959793,0.11957862065715227,2,global,True
rolling_shapley,2024-07-01/2024-12-31,2025-01-01/2025-06-30,159851.SZ,True,0.5245373710528882,7,93,0.5523674331908796,0.027830062137991305,0.5245373710528882,0.16353131983656916,3,a_share,True
rolling_shapley,2024-07-01/2024-12-31,2025-01-01/2025-06-30,513730.SH,True,0.4952113722084478,29,71,0.4161477523796914,-0.07906361982875638,0.4952113722084478,0.1337961350142209,4,global,True
rolling_shapley,2024-07-01/2024-12-31,2025-01-01/2025-06-30,512200.SH,True,0.4159252673481196,8,92,0.4471989240719635,0.03127365672384391,0.4159252673481196,0.19793695811689888,5,a_share,True
rolling_shapley,2024-07-01/2024-12-31,2025-01-01/2025-06-30,159915.SZ,True,0.411668895460491,5,95,0.45563312879915996,0.043964233338668945,0.411668895460491,0.08958950480568581,6,a_share,False
rolling_shapley,2024-07-01/2024-12-31,2025-01-01/2025-06-30,510300.SH,True,0.3985421955281985,4,96,0.44714818581876403,0.04860599029056554,0.3985421955281985,0.24073686338660413,7,a_share,False
rolling_shapley,2024-07-01/2024-12-31,2025-01-01/2025-06-30,159949.SZ,True,0.37007290003443194,6,94,0.4124162041440595,0.042343304109627576,0.37007290003443194,0.25620744114229305,8,a_share,False
rolling_shapley,2024-07-01/2024-12-31,2025-01-01/2025-06-30,513100.SH,True,0.32340250183871017,25,75,0.3070995544907261,-0.01630294734798403,0.32340250183871017,0.12676583687336726,9,global,True
rolling_shapley,2024-07-01/2024-12-31,2025-01-01/2025-06-30,501018.SH,True,0.32339981917847516,72,28,0.15509962748166656,-0.16830019169680863,0.32339981917847516,0.14025155550369892,10,commodity,True
rolling_shapley,2024-07-01/2024-12-31,2025-01-01/2025-06-30,513400.SH,True,0.2596850999946261,25,75,0.25931150310766304,-0.0003735968869630359,0.2596850999946261,0.13214739087053265,11,global,True
rolling_shapley,2024-07-01/2024-12-31,2025-01-01/2025-06-30,510880.SH,True,0.2593691310271959,7,93,0.30576096996698565,0.046391838939789785,0.2593691310271959,0.2502347489631743,12,a_share,False
rolling_shapley,2024-07-01/2024-12-31,2025-01-01/2025-06-30,159852.SZ,True,0.22790929701591622,14,86,0.26054967354538144,0.03264037652946521,0.22790929701591622,0.20291322299566053,13,a_share,False
rolling_shapley,2024-07-01/2024-12-31,2025-01-01/2025-06-30,512660.SH,True,0.20175393980941073,9,91,0.24814376333825727,0.04638982352884654,0.20175393980941073,0.2203168311097357,14,a_share,False
