method,training_period,holding_period,code,eligible,excess_elite_frequency,elite_inclusion_rate,overall_inclusion_rate,rank,group,selected
rolling_elite_frequency,2022-07-01/2022-12-31,2023-01-01/2023-06-30,159981.SZ,True,-0.029999999999999916,0.56,0.59,33,commodity,True
rolling_elite_frequency,2022-07-01/2022-12-31,2023-01-01/2023-06-30,159901.SZ,True,-0.03,0.08,0.11,34,a_share,False
rolling_elite_frequency,2022-07-01/2022-12-31,2023-01-01/2023-06-30,562500.SH,True,-0.03,0.0,0.03,35,a_share,False
rolling_elite_frequency,2022-07-01/2022-12-31,2023-01-01/2023-06-30,510500.SH,True,-0.030000000000000006,0.04,0.07,36,a_share,False
rolling_elite_frequency,2022-07-01/2022-12-31,2023-01-01/2023-06-30,512040.SH,True,-0.030000000000000006,0.04,0.07,37,a_share,False
rolling_elite_frequency,2022-07-01/2022-12-31,2023-01-01/2023-06-30,513030.SH,True,-0.03999999999999998,0.4,0.44,38,global,False
rolling_elite_frequency,2022-07-01/2022-12-31,2023-01-01/2023-06-30,513080.SH,True,-0.03999999999999998,0.28,0.32,39,global,False
rolling_elite_frequency,2022-07-01/2022-12-31,2023-01-01/2023-06-30,159825.SZ,True,-0.04,0.0,0.04,40,a_share,False
rolling_elite_frequency,2022-07-01/2022-12-31,2023-01-01/2023-06-30,159869.SZ,True,-0.04,0.04,0.08,41,a_share,False
rolling_elite_frequency,2022-07-01/2022-12-31,2023-01-01/2023-06-30,512200.SH,True,-0.04,0.04,0.08,42,a_share,False
rolling_elite_frequency,2022-07-01/2022-12-31,2023-01-01/2023-06-30,512800.SH,True,-0.04000000000000001,0.12,0.16,43,a_share,False
rolling_elite_frequency,2022-07-01/2022-12-31,2023-01-01/2023-06-30,159796.SZ,True,-0.049999999999999996,0.04,0.09,44,a_share,False
rolling_elite_frequency,2022-07-01/2022-12-31,2023-01-01/2023-06-30,510050.SH,True,-0.05,0.0,0.05,45,a_share,False
rolling_elite_frequency,2022-07-01/2022-12-31,2023-01-01/2023-06-30,512100.SH,True,-0.06,0.0,0.06,46,a_share,False
rolling_elite_frequency,2022-07-01/2022-12-31,2023-01-01/2023-06-30,512980.SH,True,-0.06,0.0,0.06,47,a_share,False
rolling_elite_frequency,2022-07-01/2022-12-31,2023-01-01/2023-06-30,515210.SH,True,-0.07,0.04,0.11,48,a_share,False
rolling_elite_frequency,2022-07-01/2022-12-31,2023-01-01/2023-06-30,588000.SH,True,-0.07,0.0,0.07,49,a_share,False
rolling_elite_frequency,2022-07-01/2022-12-31,2023-01-01/2023-06-30,513500.SH,True,-0.09,0.12,0.21,50,global,False
rolling_elite_frequency,2022-07-01/2022-12-31,2023-01-01/2023-06-30,512880.SH,True,-0.1,0.04,0.14,51,a_share,False
rolling_elite_frequency,2022-07-01/2022-12-31,2023-01-01/2023-06-30,515880.SH,True,-0.1,0.0,0.1,52,a_share,False
rolling_elite_frequency,2022-07-01/2022-12-31,2023-01-01/2023-06-30,161226.SZ,True,-0.1399999999999999,0.56,0.7,53,commodity,False
rolling_elite_frequency,2022-07-01/2022-12-31,2023-01-01/2023-06-30,501018.SH,True,-0.18,0.44,0.62,54,commodity,False
rolling_elite_frequency,2022-07-01/2022-12-31,2023-01-01/2023-06-30,513880.SH,True,-0.26,0.36,0.62,55,global,False
rolling_elite_frequency,2022-07-01/2022-12-31,2023-01-01/2023-06-30,159201.SZ,False,,,,,a_share,False
rolling_elite_frequency,2022-07-01/2022-12-31,2023-01-01/2023-06-30,159206.SZ,False,,,,,a_share,False
rolling_elite_frequency,2022-07-01/2022-12-31,2023-01-01/2023-06-30,159209.SZ,False,,,,,a_share,False
rolling_elite_frequency,2022-07-01/2022-12-31,2023-01-01/2023-06-30,159326.SZ,False,,,,,a_share,False
