method,training_year,holding_year,code,eligible,posterior_mean_sharpe,observations,rank,group,selected
rolling_ucb_sampling,2023,2024,159851.SZ,True,0.5919054802380994,9.0,26,a_share,False
rolling_ucb_sampling,2023,2024,159981.SZ,True,0.5731545885519214,64.0,27,commodity,True
rolling_ucb_sampling,2023,2024,164824.SZ,True,0.5716487739821567,33.0,28,global,False
rolling_ucb_sampling,2023,2024,159611.SZ,True,0.5700654594410434,6.0,29,a_share,False
rolling_ucb_sampling,2023,2024,513080.SH,True,0.5544365291967263,38.0,30,global,False
rolling_ucb_sampling,2023,2024,159949.SZ,True,0.5540169119064077,6.0,31,a_share,False
rolling_ucb_sampling,2023,2024,510050.SH,True,0.5532174173344951,9.0,32,a_share,False
rolling_ucb_sampling,2023,2024,512800.SH,True,0.5467070196254662,8.0,33,a_share,False
rolling_ucb_sampling,2023,2024,159980.SZ,True,0.5452454240533939,68.0,34,commodity,False
rolling_ucb_sampling,2023,2024,512040.SH,True,0.5419777214424116,6.0,35,a_share,False
rolling_ucb_sampling,2023,2024,513310.SH,True,0.5311996838871603,40.0,36,global,False
rolling_ucb_sampling,2023,2024,513070.SH,True,0.5213804132209464,37.0,37,hong_kong,False
rolling_ucb_sampling,2023,2024,512400.SH,True,0.5148895699989428,10.0,38,a_share,False
rolling_ucb_sampling,2023,2024,513290.SH,True,0.5117421572938742,35.0,39,global,False
rolling_ucb_sampling,2023,2024,588200.SH,True,0.5025590097642672,7.0,40,a_share,False
rolling_ucb_sampling,2023,2024,159915.SZ,True,0.5014781952883868,6.0,41,a_share,False
rolling_ucb_sampling,2023,2024,516150.SH,True,0.4987905212487156,6.0,42,a_share,False
rolling_ucb_sampling,2023,2024,513180.SH,True,0.4933497558549922,36.0,43,hong_kong,False
rolling_ucb_sampling,2023,2024,159967.SZ,True,0.45620257546810156,5.0,44,a_share,False
rolling_ucb_sampling,2023,2024,159865.SZ,True,0.4468517167243505,6.0,45,a_share,False
rolling_ucb_sampling,2023,2024,160644.SZ,True,0.4336578522650255,33.0,46,global,False
rolling_ucb_sampling,2023,2024,161226.SZ,True,0.41645025463997826,51.0,47,commodity,False
rolling_ucb_sampling,2023,2024,159901.SZ,True,0.40524738856948167,6.0,48,a_share,False
rolling_ucb_sampling,2023,2024,510300.SH,True,0.39207416882019697,6.0,49,a_share,False
rolling_ucb_sampling,2023,2024,159796.SZ,True,0.3289515679763569,6.0,50,a_share,False
rolling_ucb_sampling,2023,2024,159928.SZ,True,0.31718986132476357,7.0,51,a_share,False
rolling_ucb_sampling,2023,2024,512100.SH,True,0.21030934696221087,4.0,52,a_share,False
rolling_ucb_sampling,2023,2024,512880.SH,True,0.18219813141462277,5.0,53,a_share,False
rolling_ucb_sampling,2023,2024,515790.SH,True,0.09820571427586852,4.0,54,a_share,False
rolling_ucb_sampling,2023,2024,515220.SH,True,0.06344430838428991,5.0,55,a_share,False
rolling_ucb_sampling,2023,2024,512660.SH,True,0.044718224553491705,6.0,56,a_share,False
